CUSP_ID,NZMGE,NZMGN,ELAPSED_DAYS,MAG,DEPTH,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND
3366896,2425231,5767074,1.279134677,2.637,8.8507,2010,9,4,23,17,38.52709
3393160,2452972,5736520,1.279597387,2.508,5,2010,9,4,23,18,18.50519
3366897,2447293,5732500,1.282782218,3.241,5,2010,9,4,23,22,53.67464
3393170,2460321,5728622,1.283799962,2.405,5,2010,9,4,23,24,21.60767
3366900,2452648,5737049,1.28931735,2.729,5,2010,9,4,23,32,18.31
3366901,2438871,5729314,1.290387767,2.815,5,2010,9,4,23,33,50.79402
3366903,2458767,5736616,1.293283324,3.079,5,2010,9,4,23,38,0.97018
3366904,2449377,5733313,1.29504688,2.677,5,2010,9,4,23,40,33.34145
3366905,2463845,5725792,1.296289334,3.352,5,2010,9,4,23,42,20.68944
3366906,2459612,5738738,1.298953652,3.003,5,2010,9,4,23,46,10.88649
3366907,2455421,5731677,1.301293594,3.36,5,2010,9,4,23,49,33.05749
3366908,2422906,5739694,1.30459654,2.745,5,2010,9,4,23,54,18.43207
3393189,2441806,5742141,1.307497886,2.656,5,2010,9,4,23,58,29.10837
3366909,2449373,5732984,1.307845005,3.265,5,2010,9,4,23,58,59.09941
3366910,2454021,5736524,1.309649382,2.946,5,2010,9,5,0,1,34.9976
3366911,2427696,5736730,1.311918293,2.744,5,2010,9,5,0,4,51.0315
3366912,2448768,5734628,1.312640971,3.336,5,2010,9,5,0,5,53.47089
3375732,2459319,5730473,1.313627353,2.882,5,2010,9,5,0,7,18.69431
3366915,2441403,5748234,1.319813873,2.673,5,2010,9,5,0,16,13.20959
3366916,2457190,5733777,1.321900905,4.231,6.8115,2010,9,5,0,19,13.52917
3375788,2456801,5730786,1.322961781,3.142,5,2010,9,5,0,20,45.1889
3366918,2441533,5742929,1.324502896,2.616,5,2010,9,5,0,22,58.34118
3366919,2445296,5732001,1.327140784,2.969,5,2010,9,5,0,26,46.25473
3366920,2423410,5737913,1.327675662,3.844,3.1174,2010,9,5,0,27,32.4682
3366922,2455463,5735411,1.333961292,3.642,14.5694,2010,9,5,0,36,35.54665
3376320,2417197,5730809,1.334661071,3.088,5,2010,9,5,0,37,36.00754
3366924,2435271,5734839,1.336903989,2.92,5,2010,9,5,0,40,49.79565
3366925,2464409,5729738,1.338606984,4.178,8.0686,2010,9,5,0,43,16.93443
3366930,2465926,5732197,1.347288126,3.028,12,2010,9,5,0,55,46.9851
3376913,2467484,5737281,1.347869481,2.797,26.71,2010,9,5,0,56,37.21416
3366931,2418834,5736428,1.349677251,3.228,5,2010,9,5,0,59,13.4055
3376933,2441939,5734227,1.353593859,2.938,5,2010,9,5,1,4,51.80037
3366933,2460100,5729090,1.353651808,4.936,4.5072,2010,9,5,1,4,56.80719
3366937,2464753,5735139,1.360543084,3.28,7.2454,2010,9,5,1,14,52.21342
3366939,2453040,5736698,1.363682448,2.514,5,2010,9,5,1,19,23.45454
3379070,2462656,5729631,1.364432828,2.56,5,2010,9,5,1,20,28.28734
3366942,2460537,5732022,1.37052282,2.657,5,2010,9,5,1,29,14.46261
3366944,2450368,5733382,1.373793087,2.71,5,2010,9,5,1,33,57.01372
3366947,2423756,5737730,1.379115293,2.663,5,2010,9,5,1,41,36.85229
3366948,2458559,5728535,1.382353398,2.683,5,2010,9,5,1,46,16.62454
3366951,2445466,5735106,1.389035292,4.348,7.2945,2010,9,5,1,55,53.94026
3379097,2424169,5739752,1.390729379,3.846,8.6304,2010,9,5,1,58,20.30937
3379600,2428824,5736183,1.39167427,2.803,5,2010,9,5,1,59,41.94788
3379604,2423575,5740404,1.392140107,3.429,8.6028,2010,9,5,2,0,22.1962
3379612,2459800,5737273,1.393151623,2.812,8.0323,2010,9,5,2,1,49.59125
3379608,2421057,5739668,1.393509987,3.241,5,2010,9,5,2,2,20.55389
3366959,2443943,5748865,1.403295142,2.803,5,2010,9,5,2,16,25.99128
3366960,2440731,5745636,1.405447679,2.883,5,2010,9,5,2,19,31.97043
3366964,2440838,5742633,1.413291908,2.57,5,2010,9,5,2,30,49.71188
3380111,2455645,5737562,1.415126478,2.569,5,2010,9,5,2,33,28.21868
3366965,2457196,5735259,1.415868938,3.452,7.7927,2010,9,5,2,34,32.36726
3366969,2449168,5736541,1.424000579,3.106,5,2010,9,5,2,46,14.94102
3380121,2445189,5732028,1.425273539,2.69,12,2010,9,5,2,48,4.92477
3366972,2460672,5730925,1.426990712,3.276,7.7886,2010,9,5,2,50,33.28851
3366973,2466777,5730285,1.428716301,3.861,8.6697,2010,9,5,2,53,2.37939
3366976,2455029,5733061,1.433693795,2.75,5,2010,9,5,3,0,12.43492
3366978,2421157,5739316,1.435733758,2.904,5,2010,9,5,3,3,8.68767
3380604,2451732,5740229,1.435898418,2.967,5,2010,9,5,3,3,22.9143
3366979,2442598,5747252,1.438470421,2.624,5,2010,9,5,3,7,5.13534
3380612,2457943,5731381,1.439207909,2.872,5,2010,9,5,3,8,8.85434
3366987,2462537,5733207,1.451313797,3.043,5,2010,9,5,3,25,34.80304
3380627,2436829,5736617,1.453077741,2.771,5,2010,9,5,3,28,7.20784
3366989,2464388,5735756,1.455470581,3.304,6.7012,2010,9,5,3,31,33.94916
3381070,2457705,5733609,1.464594147,2.595,5,2010,9,5,3,44,42.22531
3381083,2464860,5728377,1.465917465,2.947,5,2010,9,5,3,46,36.55997
3366994,2442683,5733786,1.466653198,2.971,5,2010,9,5,3,47,40.1273
3366997,2442491,5732148,1.470817253,2.826,5,2010,9,5,3,53,39.90168
3366999,2441619,5743020,1.475173423,2.69,5,2010,9,5,3,59,56.2747
3367000,2461324,5733131,1.477893372,3.171,5,2010,9,5,4,3,51.2783
3386185,2459517,5735686,1.482457147,3.206,5,2010,9,5,4,10,25.58852
3386192,2457729,5733867,1.483214222,2.661,12,2010,9,5,4,11,30.99981
3367004,2449280,5737095,1.486333306,3.108,5,2010,9,5,4,16,0.48862
3386200,2456484,5734643,1.496545491,2.431,5,2010,9,5,4,30,42.82139
3367019,2460297,5731205,1.513509969,2.772,5,2010,9,5,4,55,8.55231
